,Area_Name,Year,Rape_Cases,Murder_Cases,Auto_Theft,Theft_Cases,Total_Cases
281,Tamil Nadu,2002,534,1787,4677,25825,32823
282,Tamil Nadu,2003,557,1654,4581,24082,30874
283,Tamil Nadu,2004,618,1544,4005,22489,28656
284,Tamil Nadu,2005,571,1511,3583,20352,26017
285,Tamil Nadu,2006,457,1418,3009,17787,22671
286,Tamil Nadu,2007,523,1711,2888,17875,22997
287,Tamil Nadu,2008,573,1824,3747,19918,26062
288,Tamil Nadu,2009,596,1857,5198,21489,29140
289,Tamil Nadu,2010,686,1908,5205,21509,29308
290,Tripura,2001,102,240,10,579,931
291,Tripura,2002,108,201,73,619,1001
292,Tripura,2003,114,254,53,576,997
293,Tripura,2004,160,226,36,577,999
294,Tripura,2005,162,158,57,640,1017
295,Tripura,2006,189,165,28,898,1280
296,Tripura,2007,157,150,55,744,1106
297,Tripura,2008,204,166,65,902,1337
298,Tripura,2009,190,148,71,826,1235
299,Tripura,2010,238,159,50,879,1326
300,Uttar Pradesh,2001,1958,8180,5790,36711,52639
301,Uttar Pradesh,2002,1415,7538,5689,27826,42468
302,Uttar Pradesh,2003,911,5284,4720,18012,28927
303,Uttar Pradesh,2004,1397,6665,8452,26487,43001
304,Uttar Pradesh,2005,1217,6365,7619,23644,38845
305,Uttar Pradesh,2006,1314,5762,8349,23845,39270
306,Uttar Pradesh,2007,1648,5182,9485,26858,43173
307,Uttar Pradesh,2008,1871,4699,10371,29291,46232
308,Uttar Pradesh,2009,1759,4679,14378,32243,53059
309,Uttar Pradesh,2010,1563,4456,16705,35068,57792
310,Uttarakhand,2001,74,381,374,2346,3175
311,Uttarakhand,2002,89,335,352,1939,2715
312,Uttarakhand,2003,107,293,369,1948,2717
313,Uttarakhand,2004,115,267,471,2181,3034
314,Uttarakhand,2005,133,290,521,2186,3130
315,Uttarakhand,2006,147,285,499,1922,2853
316,Uttarakhand,2007,117,268,545,2185,3115
317,Uttarakhand,2008,87,261,645,2033,3026
318,Uttarakhand,2009,111,195,702,1791,2799
319,Uttarakhand,2010,121,176,853,2234,3384
320,West Bengal,2001,709,1673,2579,18204,23165
321,West Bengal,2002,759,1453,3438,19012,24662
322,West Bengal,2003,1002,1464,2581,15618,20665
323,West Bengal,2004,1475,1433,2668,17679,23255
324,West Bengal,2005,1686,1454,2435,15448,21023
325,West Bengal,2006,1731,1442,2714,15721,21608
326,West Bengal,2007,2106,1653,2424,17277,23460
327,West Bengal,2008,2263,1811,2567,21809,28450
328,West Bengal,2009,2336,2161,3618,21586,29701
329,West Bengal,2010,2311,2415,4305,23759,32790
